Date,AUM_9009,AUM_9046,AUM_9179,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
30/04/2024,12348180.0,20247000.0,12375000.0,,,,
02/05/2024,12574920.0,20715160.0,11500000.0,,,,
03/05/2024,14302080.0,21106140.0,13160000.0,,,,
06/05/2024,18413260.0,22489260.0,14000000.0,,,,
07/05/2024,20916120.0,18414310.0,12222000.0,,,,
08/05/2024,19518200.0,17128020.0,11656000.0,,,,
09/05/2024,19427200.0,17047940.0,10246000.0,,,,
10/05/2024,19790550.0,17366440.0,10464000.0,,,,
13/05/2024,18452070.0,13675220.0,6992000.0,,,,
14/05/2024,18361980.0,13609660.0,6992000.0,,,,
16/05/2024,19005210.0,14084970.0,7220000.0,,,,
17/05/2024,18959850.0,13957880.0,7220000.0,,,,
20/05/2024,19450620.0,14317520.0,7372000.0,,,,
21/05/2024,23069340.0,16983000.0,8740000.0,,,,
22/05/2024,23631300.0,17397400.0,9204000.0,,,,
23/05/2024,23917320.0,17606080.0,9282000.0,,,,
24/05/2024,23115330.0,17015560.0,8970000.0,,,,
27/05/2024,23115330.0,18104840.0,9594000.0,,,,
28/05/2024,24222870.0,18793320.0,9438000.0,,,,
29/05/2024,24542720.0,19944900.0,9438000.0,,,,
30/05/2024,23890560.0,19413700.0,9126000.0,,,,
31/05/2024,23899520.0,19422000.0,9126000.0,,,,
03/06/2024,24411520.0,19835340.0,9360000.0,,,,
04/06/2024,24106880.0,19588000.0,9204000.0,,,,
05/06/2024,24381440.0,19810440.0,9360000.0,,,,
06/06/2024,24595840.0,19983080.0,9418500.0,,,,
07/06/2024,24408320.0,19830360.0,9360000.0,,,,
11/06/2024,22605440.0,18362920.0,8658000.0,,,,
12/06/2024,22502400.0,18278260.0,8580000.0,,,,
13/06/2024,22375680.0,18173680.0,8580000.0,,,,
14/06/2024,22486400.0,18263320.0,8580000.0,,,,
17/06/2024,21644020.0,15774780.0,6771000.0,,,,
18/06/2024,20984000.0,15293400.0,6588000.0,,,,
19/06/2024,20984000.0,15740700.0,6771000.0,,,,
20/06/2024,21929500.0,15980680.0,6893000.0,,,,
21/06/2024,21333530.0,15544740.0,6710000.0,,,,
24/06/2024,20526500.0,14955440.0,6466000.0,,,,
25/06/2024,20489900.0,14928460.0,6466000.0,,,,
26/06/2024,20675340.0,15063360.0,6466000.0,,,,
27/06/2024,20531380.0,14956860.0,6466000.0,,,,
28/06/2024,20941910.0,15255060.0,6579460.0,,,,
02/07/2024,20929100.0,15242280.0,6588000.0,,,,
03/07/2024,20439270.0,14885860.0,6588000.0,,,,
04/07/2024,20439270.0,14150300.0,6100000.0,,,,
05/07/2024,17447220.0,12711840.0,5490000.0,,,,
08/07/2024,17753440.0,12931940.0,5551000.0,,,,
09/07/2024,18684910.0,13607860.0,5856000.0,,,,
10/07/2024,18886820.0,13754120.0,5917000.0,,,,
11/07/2024,18960020.0,13806660.0,5978000.0,,,,
12/07/2024,18752010.0,13654720.0,6402000.0,,,,
15/07/2024,20441710.0,14880180.0,6930000.0,,,,
16/07/2024,21355740.0,15580530.0,6996000.0,,,,
17/07/2024,21946050.0,16009770.0,7194000.0,,,,
18/07/2024,21626640.0,15776040.0,7128000.0,,,,
19/07/2024,21463470.0,15656970.0,7062000.0,,,,
22/07/2024,21855330.0,15939210.0,7194000.0,,,,
23/07/2024,21695940.0,15823080.0,7128000.0,,,,
24/07/2024,21657510.0,15793680.0,7128000.0,,,,
25/07/2024,19948950.0,14548590.0,6534000.0,,,,
26/07/2024,20509020.0,14955780.0,6732000.0,,,,
29/07/2024,21190680.0,15449700.0,6996000.0,,,,
30/07/2024,20990970.0,15304170.0,6930000.0,,,,
31/07/2024,20890170.0,15230670.0,6864000.0,,,,
01/08/2024,19935090.0,14533890.0,6534000.0,,,,
02/08/2024,19774440.0,14416290.0,6534000.0,,,,
05/08/2024,14631120.0,12483760.0,4818000.0,,,,
06/08/2024,15792840.0,13474480.0,5214000.0,,,,
07/08/2024,15739290.0,14989440.0,6708000.0,,,,
08/08/2024,14270330.0,14511360.0,6536000.0,,,,
09/08/2024,15791940.0,16055040.0,7224000.0,,,,
12/08/2024,15036740.0,15287040.0,6880000.0,,,,
13/08/2024,15622020.0,15882240.0,7138000.0,,,,
14/08/2024,16036790.0,16302720.0,7310000.0,,,,
15/08/2024,15380710.0,15636480.0,7052000.0,,,,
16/08/2024,15407850.0,15663360.0,7052000.0,,,,
19/08/2024,15419060.0,15672960.0,7052000.0,,,,
20/08/2024,15735890.0,15993600.0,7224000.0,,,,
21/08/2024,15309320.0,15561600.0,7052000.0,,,,
22/08/2024,15488680.0,15742080.0,7052000.0,,,,
23/08/2024,15738250.0,15993600.0,7224000.0,,,,
26/08/2024,16109360.0,16368000.0,7396000.0,,,,
27/08/2024,15806690.0,16060800.0,7224000.0,,,,
28/08/2024,14438480.0,14676480.0,6622000.0,,,,
29/08/2024,15004880.0,15248640.0,6880000.0,,,,
30/08/2024,14859740.0,15022150.0,6715000.0,,,,
02/09/2024,14859740.0,14521730.0,6460000.0,,,,
03/09/2024,14814310.0,14976310.0,6715000.0,,,,
04/09/2024,14052030.0,14206580.0,6375000.0,,,,
05/09/2024,14180060.0,14336460.0,6460000.0,,,,
06/09/2024,14180060.0,14336460.0,6460000.0,,,,
09/09/2024,13568820.0,13719530.0,6120000.0,,,,
10/09/2024,13846710.0,13998390.0,6290000.0,,,,
11/09/2024,13740510.0,13891430.0,6205000.0,,,,
12/09/2024,13872080.0,14023220.0,6290000.0,,,,
13/09/2024,13775320.0,13927720.0,6205000.0,,,,
16/09/2024,13512770.0,13662230.0,6480000.0,,,,
17/09/2024,13545220.0,13694700.0,6480000.0,,,,
19/09/2024,14272100.0,14426230.0,6840000.0,,,,
20/09/2024,15041460.0,15201690.0,7200000.0,,,,
23/09/2024,15545910.0,15709750.0,7470000.0,,,,
24/09/2024,15537060.0,15700200.0,7470000.0,,,,
25/09/2024,15401360.0,15564590.0,7380000.0,,,,
26/09/2024,15403720.0,15566500.0,7380000.0,,,,
27/09/2024,15627330.0,15791880.0,7470000.0,,,,
30/09/2024,15493400.0,15656270.0,7470000.0,,,,
02/10/2024,14585980.0,14739470.0,7020000.0,,,,
03/10/2024,13962940.0,14111080.0,6660000.0,,,,
04/10/2024,13976510.0,14124450.0,6660000.0,,,,
07/10/2024,14591290.0,14743290.0,7020000.0,,,,
08/10/2024,14242600.0,14391850.0,6840000.0,,,,
09/10/2024,14303370.0,14452970.0,6840000.0,,,,
10/10/2024,14083300.0,14231410.0,6750000.0,,,,
14/10/2024,14083300.0,14978220.0,7110000.0,,,,
15/10/2024,15350030.0,15509200.0,7380000.0,,,,
16/10/2024,15290440.0,15448080.0,7290000.0,,,,
17/10/2024,15407260.0,15566500.0,7380000.0,,,,
18/10/2024,15445610.0,15604700.0,7380000.0,,,,
21/10/2024,16004930.0,16168150.0,7650000.0,,,,
22/10/2024,15561250.0,15721210.0,7470000.0,,,,
23/10/2024,15305190.0,15463360.0,7380000.0,,,,
24/10/2024,14945880.0,15100460.0,7200000.0,,,,
25/10/2024,14534650.0,14685990.0,7020000.0,,,,
28/10/2024,14725220.0,14876990.0,7110000.0,,,,
30/10/2024,15632640.0,15791880.0,7470000.0,,,,
31/10/2024,15496940.0,15654360.0,7470000.0,,,,
01/11/2024,14649110.0,14800590.0,7020000.0,,,,
04/11/2024,14465620.0,14613410.0,6930000.0,,,,
05/11/2024,14255580.0,14403310.0,6840000.0,,,,
06/11/2024,15282180.0,15438530.0,7290000.0,,,,
07/11/2024,16510560.0,16676210.0,7920000.0,,,,
08/11/2024,17074600.0,17245390.0,8190000.0,,,,
11/11/2024,17074600.0,18593850.0,8820000.0,,,,
12/11/2024,19765590.0,22047390.0,9450000.0,,,,
13/11/2024,18461100.0,20595710.0,8820000.0,,,,
14/11/2024,18461100.0,20903770.0,9000000.0,,,,
15/11/2024,17947210.0,20021790.0,8640000.0,,,,
18/11/2024,18367880.0,20490210.0,8820000.0,,,,
19/11/2024,18315370.0,20431130.0,8820000.0,,,,
20/11/2024,18233360.0,20340400.0,8730000.0,,,,
21/11/2024,18357260.0,20477550.0,8820000.0,,,,
22/11/2024,19804530.0,22089590.0,9540000.0,,,,
25/11/2024,19875330.0,22167660.0,9540000.0,,,,
26/11/2024,19963830.0,22264720.0,9540000.0,,,,
27/11/2024,20091860.0,22408200.0,9630000.0,,,,
28/11/2024,20091860.0,23526500.0,10080000.0,,,,
29/11/2024,20814610.0,23210000.0,9990000.0,,,,
02/12/2024,21513170.0,26262390.0,10350000.0,,,,
03/12/2024,21203420.0,25883550.0,10170000.0,,,,
04/12/2024,21717900.0,26511870.0,10440000.0,,,,
05/12/2024,22614110.0,27606810.0,10890000.0,,,,
06/12/2024,22847750.0,27890940.0,10980000.0,,,,
09/12/2024,22883740.0,29748780.0,10980000.0,,,,
10/12/2024,21855370.0,28410540.0,10530000.0,,,,
11/12/2024,21486620.0,27930840.0,10350000.0,,,,
12/12/2024,22989350.0,29884080.0,11070000.0,,,,
13/12/2024,22781080.0,29613480.0,10890000.0,,,,
16/12/2024,23260160.0,30235860.0,11160000.0,,,,
17/12/2024,23493800.0,30538440.0,11250000.0,,,,
18/12/2024,22504960.0,29254320.0,10800000.0,,,,
19/12/2024,21592820.0,32062100.0,10350000.0,,,,
20/12/2024,19874150.0,34764930.0,9540000.0,,,,
23/12/2024,19244620.0,33666010.0,9270000.0,,,,
24/12/2024,19888310.0,34788100.0,9540000.0,,,,
27/12/2024,19635790.0,34347870.0,9450000.0,,,,
30/12/2024,19989200.0,34960220.0,9630000.0,,,,
31/12/2024,19611600.0,34304840.0,9450000.0,,,,
02/01/2025,19965600.0,34923810.0,9540000.0,,,,
03/01/2025,20101300.0,35158820.0,9630000.0,,,,
06/01/2025,21369800.0,37379830.0,10260000.0,,,,
07/01/2025,21481900.0,37578430.0,10350000.0,,,,
08/01/2025,19511300.0,34132720.0,9360000.0,,,,
09/01/2025,19310700.0,33775240.0,9270000.0,,,,
10/01/2025,18587700.0,32944320.0,9270000.0,,,,
13/01/2025,18069000.0,32024160.0,9000000.0,,,,
14/01/2025,17955000.0,31826520.0,8910000.0,,,,
15/01/2025,18285600.0,32409720.0,9090000.0,,,,
16/01/2025,19112100.0,33877440.0,9090000.0,,,,
17/01/2025,19040000.0,33750000.0,9440000.0,,,,
20/01/2025,19160000.0,33960000.0,9530000.0,,,,
21/01/2025,18350000.0,32520000.0,9090000.0,,,,
22/01/2025,21900000.0,33030000.0,9270000.0,,,,
23/01/2025,21350000.0,32190000.0,9000000.0,,,,
24/01/2025,22490000.0,33900000.0,9530000.0,,,,
27/01/2025,20350000.0,30690000.0,8640000.0,,,,
28/01/2025,21250000.0,32050000.0,9000000.0,,,,
03/02/2025,17070000.0,25740000.0,7200000.0,,,,
04/02/2025,18010000.0,27160000.0,7650000.0,,,,
05/02/2025,18280000.0,30960000.0,8170000.0,,,,
06/02/2025,18840000.0,31920000.0,8450000.0,,,,
07/02/2025,18000000.0,30490000.0,8070000.0,,,,
10/02/2025,17490000.0,29630000.0,7790000.0,,,,
11/02/2025,18020000.0,30530000.0,8070000.0,,,,
12/02/2025,17330000.0,28310000.0,7690000.0,,,,
13/02/2025,17790000.0,29060000.0,7980000.0,,,,
14/02/2025,17920000.0,29270000.0,7980000.0,,,,
17/02/2025,17800000.0,29080000.0,7980000.0,,,,
18/02/2025,17700000.0,28910000.0,7880000.0,,,,
19/02/2025,17940000.0,29310000.0,7980000.0,,,,
20/02/2025,18090000.0,28460000.0,8070000.0,,,,
21/02/2025,18310000.0,28800000.0,8170000.0,,,,
24/02/2025,18060000.0,28420000.0,8070000.0,,,,
25/02/2025,15860000.0,24950000.0,7120000.0,,,,
26/02/2025,16490000.0,25950000.0,7410000.0,,,,
27/02/2025,15610000.0,23900000.0,6930000.0,,,,
28/02/2025,13980000.0,21410000.0,6270000.0,,,,
03/03/2025,15740000.0,24110000.0,7030000.0,,,,
04/03/2025,13780000.0,21100000.0,6170000.0,,,,
,,,,,,,
04-03-2025,13780000.0,21100000.0,6170000.0,,,,
05-03-2025,14570000.0,22310000.0,6170000.0,,,,
06-03-2025,15180000.0,23250000.0,6740000.0,,,,
07-03-2025,14480000.0,22170000.0,6460000.0,,,,
10-03-2025,13700000.0,20990000.0,6170000.0,,,,
11-03-2025,12560000.0,19240000.0,5600000.0,,,,
12-03-2025,12600000.0,19290000.0,5600000.0,,,,
13-03-2025,12400000.0,19290000.0,5510000.0,,,,
14-03-2025,12540000.0,19290000.0,5510000.0,,,,
17-03-2025,12560000.0,19290000.0,5510000.0,,,,
18-03-2025,12600000.0,19290000.0,5600000.0,,,,
19-03-2025,12810000.0,19620000.0,5700000.0,,,,
20-03-2025,13300000.0,20370000.0,5980000.0,,,,
21-03-2025,13040000.0,19970000.0,5980000.0,,,,
24-03-2025,14110000.0,20990000.0,6170000.0,,,,
25-03-2025,14020000.0,20990000.0,6080000.0,,,,
26-03-2025,14090000.0,20950000.0,6080000.0,,,,
27-03-2025,13800000.0,20520000.0,6080000.0,,,,
28-03-2025,13030000.0,20520000.0,5700000.0,,,,
31-03-2025,12240000.0,18200000.0,5700000.0,,,,
01-04-2025,12640000.0,18200000.0,5510000.0,,,,
02-04-2025,12640000.0,18200000.0,5510000.0,,,,
03-04-2025,12350000.0,18200000.0,5510000.0,,,,
Unknown Date,12350000.0,18200000.0,4270000.0,,,,
09-04-2025,10060000.0,14960000.0,4370000.0,,,,
10-04-2025,10920000.0,14960000.0,4370000.0,,,,
11-04-2025,10560000.0,14960000.0,4370000.0,,,,
14-04-2025,11220000.0,14960000.0,4840000.0,,,,
15-04-2025,11350000.0,16629999.999999998,4840000.0,,,,
16-04-2025,10840000.0,15880000.0,4650000.0,,,,
17-04-2025,11070000.0,16219999.999999998,4750000.0,,,,
22-04-2025,11050000.0,16190000.000000002,4750000.0,,,,
23-04-2025,12300000.0,18030000.0,5320000.0,,,,
24-04-2025,12170000.0,17830000.0,5320000.0,,,,
25-04-2025,12250000.0,17830000.0,5220000.0,,,,
28-04-2025,12460000.0,18540000.0,5220000.0,,,,
29-04-2025,12570000.0,18690000.0,5220000.0,,,,
30-04-2025,12430000.0,18690000.0,5320000.0,,,,
02-05-2025,12570000.0,18690000.0,5320000.0,,,,
06-05-2025,12450000.0,18520000.0,5320000.0,,,,
07-05-2025,12640000.0,18520000.0,5410000.0,,,,
08-05-2025,13250000.0,18520000.0,5410000.0,,,,
09-05-2025,15990000.0,19700000.0,6840000.0,,,,
12-05-2025,17710000.0,23780000.0,7600000.0,,,,
13-05-2025,17000000.0,23780000.0,7310000.0,,,,
14-05-2025,18310000.0,23780000.0,7880000.0,,,,
15-05-2025,17570000.0,29490000.0,7500000.0,,,,
16-05-2025,17920000.0,30080000.0,7500000.0,,,,
19-05-2025,16530000.000000002,29960000.0,7500000.0,,,,
20-05-2025,17470000.0,29960000.0,7500000.0,,,,
